test,tag,start_cycles,end_cycles,duration_cycles,scheduled_send,send,recv,loss_percent,throughput_packets_per_cycle,avg_latency_cycles,dest_local,dest_east,dest_west,dest_north,dest_south,egress_local,egress_east,egress_west,egress_north,egress_south,stall_local,stall_east,stall_west,stall_north,stall_south
ranc_all_in_one_test,hotspot_north_south_heavy,0,410,410,200,200,200,0.00,0.4878,6.00,200,0,0,0,0,200,0,0,0,0,0,0,0,0,0
ranc_all_in_one_test,hotspot_north_south_saturated,0,452,452,200,200,200,0.00,0.4425,10.78,200,0,0,0,0,200,0,0,0,0,0,0,0,141,0
ranc_all_in_one_test,hotspot_north_south_east_light,0,1010,1010,300,300,300,0.00,0.2970,3.33,300,0,0,0,0,300,0,0,0,0,0,0,0,0,0
ranc_all_in_one_test,hotspot_north_south_east_medium,0,610,610,300,300,300,0.00,0.4918,3.33,300,0,0,0,0,300,0,0,0,0,0,0,0,0,0
ranc_all_in_one_test,hotspot_north_south_east_heavy,0,796,796,300,300,300,0.00,0.3769,4.93,300,0,0,0,0,300,0,0,0,0,0,0,0,387,0
ranc_all_in_one_test,hotspot_north_south_east_saturated,0,702,702,300,300,300,0.00,0.4274,5.46,300,0,0,0,0,300,0,0,0,0,0,86,0,391,99
ranc_all_in_one_test,hotspot_north_south_east_west_light,0,1010,1010,400,400,400,0.00,0.3960,2.50,400,0,0,0,0,400,0,0,0,0,0,0,0,0,0
ranc_all_in_one_test,hotspot_north_south_east_west_medium,0,1188,1188,400,400,400,0.00,0.3367,3.69,400,0,0,0,0,400,0,0,0,0,0,0,0,579,0
ranc_all_in_one_test,hotspot_north_south_east_west_heavy,0,812,812,400,400,400,0.00,0.4926,8.60,400,0,0,0,0,400,0,0,0,0,0,385,0,401,0
ranc_all_in_one_test,hotspot_north_south_east_west_saturated,0,856,856,400,400,400,0.00,0.4673,8.81,400,0,0,0,0,400,0,0,0,0,0,389,86,546,99
